,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
120,2019-09-02,8,11.0,15.0,13.0
121,2019-09-02,9,11.0,15.0,13.0
122,2019-09-02,10,11.0,14.0,12.0
123,2019-09-02,11,11.0,14.0,12.0
124,2019-09-02,12,11.0,14.0,12.0
125,2019-09-02,13,11.0,14.0,12.0
126,2019-09-02,14,11.0,14.0,12.0
127,2019-09-02,15,11.0,15.0,13.0
128,2019-09-02,16,11.0,15.0,13.0
129,2019-09-02,17,11.0,15.0,13.0
130,2019-09-02,18,11.0,15.0,13.0
131,2019-09-02,19,11.0,15.0,13.0
132,2019-09-02,20,11.0,15.0,13.0
133,2019-09-02,21,11.0,16.0,13.0
134,2019-09-02,22,11.0,16.0,13.0
135,2019-09-02,23,11.0,17.0,14.0
136,2019-09-03,0,11.0,17.0,14.0
137,2019-09-03,1,11.0,17.0,14.0
138,2019-09-03,2,11.0,17.0,14.0
139,2019-09-03,3,11.0,17.0,14.0
140,2019-09-03,4,11.0,17.0,14.0
141,2019-09-03,5,11.0,17.0,14.0
142,2019-09-03,6,12.0,17.0,14.0
143,2019-09-03,7,12.0,17.0,14.0
144,2019-09-03,8,12.0,17.0,14.0
145,2019-09-03,9,12.0,17.0,14.0
146,2019-09-03,10,12.0,17.0,14.0
147,2019-09-03,11,13.0,17.0,15.0
148,2019-09-03,12,13.0,17.0,15.0
149,2019-09-03,13,12.0,17.0,14.0
150,2019-09-03,14,12.0,17.0,14.0
151,2019-09-03,15,11.0,17.0,14.0
152,2019-09-03,16,11.0,17.0,14.0
153,2019-09-03,17,10.0,17.0,13.0
154,2019-09-03,18,10.0,17.0,13.0
155,2019-09-03,19,10.0,17.0,13.0
156,2019-09-03,22,9.0,17.0,13.0
157,2019-09-03,23,9.0,17.0,13.0
158,2019-09-04,0,8.0,17.0,12.0
159,2019-09-04,1,8.0,17.0,12.0
160,2019-09-04,2,8.0,17.0,12.0
161,2019-09-04,3,8.0,17.0,12.0
162,2019-09-04,4,8.0,16.0,12.0
163,2019-09-04,5,8.0,16.0,12.0
164,2019-09-04,6,8.0,15.0,11.0
165,2019-09-04,7,8.0,15.0,11.0
166,2019-09-04,8,7.0,14.0,10.0
167,2019-09-04,9,7.0,14.0,10.0
168,2019-09-04,10,7.0,14.0,10.0
169,2019-09-04,11,7.0,13.0,10.0
170,2019-09-04,12,7.0,12.0,9.0
