,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
0,2019-08-28,7,17.0,20.0,18.0
1,2019-08-28,8,17.0,20.0,18.0
2,2019-08-28,9,17.0,20.0,18.0
3,2019-08-28,10,17.0,20.0,18.0
4,2019-08-28,11,17.0,20.0,18.0
5,2019-08-28,12,17.0,20.0,18.0
6,2019-08-28,13,17.0,20.0,18.0
7,2019-08-28,14,17.0,20.0,18.0
8,2019-08-28,15,17.0,20.0,18.0
9,2019-08-28,16,17.0,20.0,18.0
10,2019-08-28,17,17.0,20.0,18.0
11,2019-08-28,18,17.0,20.0,18.0
12,2019-08-28,19,17.0,19.0,18.0
13,2019-08-28,20,17.0,19.0,18.0
14,2019-08-28,21,17.0,19.0,18.0
15,2019-08-28,22,17.0,18.0,17.0
16,2019-08-28,23,17.0,18.0,17.0
17,2019-08-29,0,17.0,18.0,17.0
18,2019-08-29,1,17.0,18.0,17.0
19,2019-08-29,2,17.0,18.0,17.0
20,2019-08-29,3,17.0,18.0,17.0
21,2019-08-29,4,17.0,18.0,17.0
22,2019-08-29,5,17.0,18.0,17.0
23,2019-08-29,6,17.0,18.0,17.0
24,2019-08-29,7,17.0,18.0,17.0
25,2019-08-29,8,17.0,18.0,17.0
26,2019-08-29,9,17.0,18.0,17.0
27,2019-08-29,10,17.0,18.0,17.0
28,2019-08-29,11,17.0,18.0,17.0
29,2019-08-29,12,17.0,18.0,17.0
30,2019-08-29,13,17.0,18.0,17.0
31,2019-08-29,14,17.0,18.0,17.0
32,2019-08-29,15,17.0,18.0,17.0
33,2019-08-29,16,17.0,18.0,17.0
34,2019-08-29,17,17.0,18.0,17.0
35,2019-08-29,18,17.0,18.0,17.0
36,2019-08-29,19,17.0,18.0,17.0
37,2019-08-29,20,17.0,18.0,17.0
38,2019-08-29,21,17.0,18.0,17.0
39,2019-08-29,22,17.0,18.0,17.0
40,2019-08-29,23,17.0,18.0,17.0
41,2019-08-30,0,17.0,18.0,17.0
42,2019-08-30,1,17.0,18.0,17.0
43,2019-08-30,2,17.0,18.0,17.0
44,2019-08-30,3,17.0,18.0,17.0
45,2019-08-30,4,17.0,18.0,17.0
46,2019-08-30,5,16.0,18.0,17.0
47,2019-08-30,6,16.0,18.0,17.0
48,2019-08-30,7,16.0,18.0,17.0
49,2019-08-30,8,15.0,18.0,16.0
50,2019-08-30,9,15.0,18.0,16.0
51,2019-08-30,10,14.0,18.0,16.0
52,2019-08-30,11,13.0,18.0,15.0
53,2019-08-30,12,13.0,18.0,15.0
54,2019-08-30,13,12.0,18.0,15.0
55,2019-08-30,14,12.0,18.0,15.0
56,2019-08-30,15,12.0,18.0,15.0
57,2019-08-30,16,11.0,18.0,14.0
58,2019-08-30,17,11.0,18.0,14.0
59,2019-08-30,18,11.0,18.0,14.0
60,2019-08-30,19,11.0,18.0,14.0
61,2019-08-30,20,11.0,18.0,14.0
62,2019-08-30,21,11.0,17.0,14.0
63,2019-08-30,22,11.0,17.0,14.0
64,2019-08-30,23,11.0,17.0,14.0
65,2019-08-31,0,11.0,17.0,14.0
66,2019-08-31,1,11.0,17.0,14.0
67,2019-08-31,2,11.0,17.0,14.0
68,2019-08-31,3,11.0,17.0,14.0
69,2019-08-31,4,11.0,16.0,13.0
70,2019-08-31,5,11.0,16.0,13.0
71,2019-08-31,6,11.0,16.0,13.0
72,2019-08-31,7,11.0,15.0,13.0
73,2019-08-31,8,11.0,15.0,13.0
74,2019-08-31,9,11.0,14.0,12.0
75,2019-08-31,10,11.0,13.0,12.0
76,2019-08-31,11,11.0,13.0,12.0
77,2019-08-31,12,11.0,12.0,11.0
78,2019-08-31,13,11.0,12.0,11.0
79,2019-08-31,14,11.0,12.0,11.0
80,2019-08-31,15,11.0,12.0,11.0
81,2019-08-31,16,11.0,12.0,11.0
82,2019-08-31,17,11.0,13.0,12.0
83,2019-08-31,18,11.0,13.0,12.0
84,2019-08-31,19,11.0,13.0,12.0
85,2019-08-31,20,11.0,13.0,12.0
86,2019-08-31,21,11.0,13.0,12.0
87,2019-08-31,22,11.0,14.0,12.0
88,2019-08-31,23,11.0,14.0,12.0
89,2019-09-01,0,11.0,14.0,12.0
90,2019-09-01,1,11.0,14.0,12.0
91,2019-09-01,2,11.0,14.0,12.0
92,2019-09-01,3,11.0,14.0,12.0
93,2019-09-01,4,11.0,14.0,12.0
94,2019-09-01,5,11.0,15.0,13.0
95,2019-09-01,6,11.0,15.0,13.0
96,2019-09-01,7,11.0,15.0,13.0
97,2019-09-01,8,12.0,15.0,13.0
98,2019-09-01,9,12.0,15.0,13.0
99,2019-09-01,10,12.0,15.0,13.0
100,2019-09-01,11,12.0,15.0,13.0
101,2019-09-01,12,12.0,15.0,13.0
102,2019-09-01,13,12.0,15.0,13.0
103,2019-09-01,14,12.0,15.0,13.0
104,2019-09-01,15,12.0,15.0,13.0
105,2019-09-01,16,13.0,15.0,14.0
106,2019-09-01,17,13.0,15.0,14.0
107,2019-09-01,18,13.0,15.0,14.0
108,2019-09-01,20,13.0,15.0,14.0
109,2019-09-01,21,13.0,15.0,14.0
110,2019-09-01,22,13.0,15.0,14.0
111,2019-09-01,23,13.0,15.0,14.0
112,2019-09-02,0,13.0,15.0,14.0
113,2019-09-02,1,13.0,15.0,14.0
114,2019-09-02,2,13.0,15.0,14.0
115,2019-09-02,3,13.0,15.0,14.0
116,2019-09-02,4,13.0,15.0,14.0
117,2019-09-02,5,13.0,15.0,14.0
118,2019-09-02,6,13.0,15.0,14.0
119,2019-09-02,7,13.0,15.0,14.0
120,2019-09-02,8,13.0,15.0,14.0
121,2019-09-02,9,13.0,15.0,14.0
122,2019-09-02,10,13.0,15.0,14.0
123,2019-09-02,11,13.0,15.0,14.0
124,2019-09-02,12,13.0,15.0,14.0
125,2019-09-02,13,13.0,16.0,14.0
126,2019-09-02,14,13.0,17.0,15.0
127,2019-09-02,15,13.0,17.0,15.0
128,2019-09-02,16,13.0,17.0,15.0
129,2019-09-02,17,13.0,17.0,15.0
130,2019-09-02,18,13.0,17.0,15.0
131,2019-09-02,19,13.0,17.0,15.0
132,2019-09-02,20,13.0,17.0,15.0
133,2019-09-02,21,13.0,17.0,15.0
134,2019-09-02,22,13.0,18.0,15.0
135,2019-09-02,23,13.0,18.0,15.0
136,2019-09-03,0,13.0,19.0,16.0
137,2019-09-03,1,13.0,19.0,16.0
138,2019-09-03,2,13.0,19.0,16.0
139,2019-09-03,3,13.0,19.0,16.0
140,2019-09-03,4,13.0,19.0,16.0
141,2019-09-03,5,13.0,19.0,16.0
142,2019-09-03,6,13.0,19.0,16.0
143,2019-09-03,7,13.0,19.0,16.0
144,2019-09-03,8,13.0,19.0,16.0
145,2019-09-03,9,14.0,19.0,16.0
146,2019-09-03,10,13.0,19.0,16.0
147,2019-09-03,11,12.0,19.0,15.0
148,2019-09-03,12,11.0,19.0,15.0
149,2019-09-03,13,10.0,19.0,14.0
150,2019-09-03,14,10.0,19.0,14.0
151,2019-09-03,15,10.0,19.0,14.0
152,2019-09-03,16,9.0,19.0,14.0
153,2019-09-03,17,9.0,19.0,14.0
154,2019-09-03,18,9.0,19.0,14.0
155,2019-09-03,19,9.0,19.0,14.0
156,2019-09-03,22,8.0,19.0,13.0
157,2019-09-03,23,7.0,19.0,13.0
158,2019-09-04,0,7.0,19.0,13.0
159,2019-09-04,1,7.0,19.0,13.0
160,2019-09-04,2,7.0,18.0,12.0
161,2019-09-04,3,7.0,18.0,12.0
162,2019-09-04,4,7.0,17.0,12.0
163,2019-09-04,5,7.0,16.0,11.0
164,2019-09-04,6,7.0,15.0,11.0
165,2019-09-04,7,7.0,15.0,11.0
166,2019-09-04,8,7.0,14.0,10.0
